short_code,target_url,title,enabled
teacher,https://jtchen1225-a11y.github.io/macau-distinguished-teachers/,澳門傑出教師,1
b1,https://jtchen1225-a11y.github.io/math-b1-review/,math-b1-review,1
b2,https://jtchen1225-a11y.github.io/math-b2-review/,math-b2-review,1
b3,https://jtchen1225-a11y.github.io/math-b3-review/,math-b3-review,1
b4,https://jtchen1225-a11y.github.io/math-b4-review/,math-b4-review,1
f6,https://jtchen1225-a11y.github.io/math-review-deck/,math-review-deck,1
p4lab,https://jtchen1225-a11y.github.io/timss-p4-lab-ipad/,timss-p4-lab-ipad,1
7a,https://jtchen1225-a11y.github.io/math-j7a-review/,math-j7a-review,1
7b,https://jtchen1225-a11y.github.io/math-j7b-review/,math-j7b-review,1
8a,https://jtchen1225-a11y.github.io/math-j8a-review/,math-j8a-review,1
8b,https://jtchen1225-a11y.github.io/math-j8b-review/,math-j8b-review,1
9a,https://jtchen1225-a11y.github.io/math-j9a-review/,math-j9a-review,1
9b,https://jtchen1225-a11y.github.io/math-j9b-review/,math-j9b-review,1
opencode,https://jtchen1225-a11y.github.io/cdsj5-math-opencode-workshop/,cdsj5-math-opencode-workshop,1
pisa2025,https://jtchen1225-a11y.github.io/pisa-2025-macau-curriculum-report/,pisa-2025-macau-curriculum-report,1
pisa,https://jtchen1225-a11y.github.io/pisa-2025-macau-curriculum-report/,index-html,1
macau-uni-bonus-points-guide,https://jtchen1225-a11y.github.io/macau-uni-bonus-points-guide/,macau-uni-bonus-points-guide,1
calculus,https://jtchen1225-a11y.github.io/math-review-deck/calculus.html,calculus-html,1
features,https://jtchen1225-a11y.github.io/cdsj5-section-features/,cdsj5-section-features,1
cdsj5-section-features,https://jtchen1225-a11y.github.io/cdsj5-section-features/,cdsj5-section-features,1
math-review-deck,https://jtchen1225-a11y.github.io/math-review-deck/,math-review-deck,1
admin,https://jtchen1225-a11y.github.io/daydaystudy-short-url/,daydaystudy-short-url,1
daydaystudy-short-url,https://jtchen1225-a11y.github.io/daydaystudy-short-url/,daydaystudy-short-url,1
cdsj5-math-opencode-workshop,https://jtchen1225-a11y.github.io/cdsj5-math-opencode-workshop/,聖若瑟教區中學第五校 小學數學 × OpenCode --- AI Agent 實作工作坊,1
pisa-2025-macau-curriculum-report,https://jtchen1225-a11y.github.io/pisa-2025-macau-curriculum-report/,pisa-2025-macau-curriculum-report,1
math-j9b-review,https://jtchen1225-a11y.github.io/math-j9b-review/,math-j9b-review,1
math-j9a-review,https://jtchen1225-a11y.github.io/math-j9a-review/,math-j9a-review,1
math-j8b-review,https://jtchen1225-a11y.github.io/math-j8b-review/,math-j8b-review,1
math-j8a-review,https://jtchen1225-a11y.github.io/math-j8a-review/,math-j8a-review,1
math-j7b-review,https://jtchen1225-a11y.github.io/math-j7b-review/,math-j7b-review,1
math-j7a-review,https://jtchen1225-a11y.github.io/math-j7a-review/,math-j7a-review,1
math-b1-review,https://jtchen1225-a11y.github.io/math-b1-review/,普通高中教科書·數學（B版）必修 第一冊 全冊互動複習簡報 (math-review-deck),1
lesson,https://jtchen1225-a11y.github.io/math-lesson-deck/,math-lesson-deck,1
math-lesson-deck,https://jtchen1225-a11y.github.io/math-lesson-deck/,math-lesson-deck,1
timss-p4-lab-ipad,https://jtchen1225-a11y.github.io/timss-p4-lab-ipad/,timss-p4-lab-ipad,1
p4math,https://jtchen1225-a11y.github.io/timss-p4-math-lab/,timss-p4-math-lab,1
timss-p4-math-lab,https://jtchen1225-a11y.github.io/timss-p4-math-lab/,timss-p4-math-lab,1
macau-distinguished-teachers,https://jtchen1225-a11y.github.io/macau-distinguished-teachers/,macau-distinguished-teachers,1
xb2,https://jtchen1225-a11y.github.io/math-xb2-review/,普通高中教科書·數學（B版）選擇性必修 第二冊 全冊互動複習簡報 (math-review-deck),1
math-xb2-review,https://jtchen1225-a11y.github.io/math-xb2-review/,普通高中教科書·數學（B版）選擇性必修 第二冊 全冊互動複習簡報 (math-review-deck),1
xb1,https://jtchen1225-a11y.github.io/math-xb1-review/,普通高中教科書·數學（B版）選擇性必修 第一冊 全冊互動複習簡報 (math-review-deck),1
math-xb1-review,https://jtchen1225-a11y.github.io/math-xb1-review/,普通高中教科書·數學（B版）選擇性必修 第一冊 全冊互動複習簡報 (math-review-deck),1
math-b4-review,https://jtchen1225-a11y.github.io/math-b4-review/,普通高中教科書·數學（B版）必修 第四冊 全冊互動複習簡報 (math-review-deck),1
math-b3-review,https://jtchen1225-a11y.github.io/math-b3-review/,普通高中教科書·數學（B版）必修 第三冊 全冊互動複習簡報 (math-review-deck),1
math-b2-review,https://jtchen1225-a11y.github.io/math-b2-review/,普通高中教科書·數學（B版）必修 第二冊 全冊互動複習簡報 (math-review-deck),1
sci,https://github.com/jtchen1225-a11y/sci-research-workflow,"A verifiable-evidence-based Codex skill for SCI research design, writing, peer review, and visualization.",1
sci-research-workflow,https://github.com/jtchen1225-a11y/sci-research-workflow,"A verifiable-evidence-based Codex skill for SCI research design, writing, peer review, and visualization.",1
um-api,https://github.com/jtchen1225-a11y/um-dissertation-formatter-api,um-dissertation-formatter-api,1
um-dissertation-formatter-api,https://github.com/jtchen1225-a11y/um-dissertation-formatter-api,um-dissertation-formatter-api,1
fruit,https://jtchen1225-a11y.github.io/fruit-verb-game/,fruit-verb-game,1
fruit-verb-game,https://jtchen1225-a11y.github.io/fruit-verb-game/,fruit-verb-game,1
pythagoras,https://jtchen1225-a11y.github.io/pythagorean-demo/,pythagorean-demo,1
pythagorean-demo,https://jtchen1225-a11y.github.io/pythagorean-demo/,pythagorean-demo,1
wordcloud,https://jtchen1225-a11y.github.io/wordcloud-demo/,wordcloud-demo,1
wordcloud-demo,https://jtchen1225-a11y.github.io/wordcloud-demo/,wordcloud-demo,1
opencode-test,https://github.com/jtchen1225-a11y/opencode-github-test,opencode-github-test,1
opencode-github-test,https://github.com/jtchen1225-a11y/opencode-github-test,opencode-github-test,1
macau,https://jtchen1225-a11y.github.io/macau-uni-bonus-points-guide/,macau-uni-bonus-points-guide,1
jae,https://jtchen1225-a11y.github.io/math-jae-topics/,澳門四校聯考數學 8 大黃金專題總複習,1
math-jae-topics,https://jtchen1225-a11y.github.io/math-jae-topics/,澳門四校聯考數學 8 大黃金專題總複習,1
jae1,https://jtchen1225-a11y.github.io/math-jae-topics/topic01.html,Topic 01 解析幾何與圓錐曲線深入,1
jae2,https://jtchen1225-a11y.github.io/math-jae-topics/topic02.html,Topic 02 微積分求導極值與定積分,1
jae3,https://jtchen1225-a11y.github.io/math-jae-topics/topic03.html,Topic 03 複數代數與複平面幾何,1
jae4,https://jtchen1225-a11y.github.io/math-jae-topics/topic04.html,Topic 04 矩陣線性方程組與數學歸納法,1
jae5,https://jtchen1225-a11y.github.io/math-jae-topics/topic05.html,Topic 05 立體幾何與空間向量建系,1
